Title,Description,Priority,Labels,Estimate,Project,Status
Prevent the same app in both vice and productive lists,C6. PRD J6 P0 requires conflict resolution with a confirmation toast. No detection exists; behavior with an app in both lists is undefined (it would be both shielded and earning).,3,bug,3,Settings hardening,Backlog
Reset all data should clear streak keys,"C8. The clepsy_streak_* keys live in standard UserDefaults outside PersistenceService.clearAll(), so 'Reset all data' preserves the streak.

File: Clepsy/ViewModels/SettingsViewModel.swift:122",3,bug,1,Settings hardening,Backlog
Fix 14 broken doc cross-references,"H1. Docs point at flat paths that no longer exist (earning_specs.md, dashboard_specs.md, docs/clepsy_prd.md, clepsy_app_images/, docs/testing/mvp-test-checklist.md, ...). Actual locations are docs/specs/, docs/plans/, design/assets/. Every 'see X' pointer in the plan and CHANGELOG is currently dead.",3,docs,1,Docs & hygiene,Backlog
"Update README: entitlements, extensions, structure","H3 / CD-025. README says to uncomment the entitlements and the ClepsyMonitor dependency — both have been active since 14984df. Project structure omits ClepsyShieldAction and ClepsyShieldConfiguration entirely. Also missing: the App Group requirement, docs/, design/.",3,docs,1,Docs & hygiene,Backlog
Rewrite the data-architecture storage section,"C12 / CD-013. The doc describes pendingTimeEvents as an App Group UserDefaults key; the implementation uses a file (pendingTimeEvents.json) with NSFileCoordinator. The key table omits every key actually in use: viceSelection, productiveSelection, balanceSeconds, pendingDeltaSeconds, activeUnlocks, shieldShowedBalanceByToken, unlockExpiresAt, clepsy_streak_*.",3,docs,2,Docs & hygiene,Backlog
Amend the MVB hourglass rationale for spendable balance,"CD-018, decided. The sand level represents spendable balance, not goal progress. The MVB's 'Why Hourglass Body?' section is written around the goal-progress reading and needs rewriting, as does PRD J3 P0. Consider whether the face should also key off balance (CD-019) — today the body tracks balance and the face tracks goal progress.",3,docs,1,Docs & hygiene,Backlog
Update onboarding spec to the shipped 5-screen flow,"CD-016. Spec describes 6 screens while its own header says 'Target: 5 screens total'. Shipped: Welcome+HowItWorks merged, Ready screen replaced by a 2.5s celebration overlay, no Screen 2B.",3,docs,1,Docs & hygiene,Backlog
Update dashboard spec: stats folded into the hero card,CD-017. Spec 3.5 specifies two standalone stat cards; commit 157be49 folded earned/spent inline into the balance hero card as redundant.,4,docs,1,Docs & hygiene,Backlog
Cut PRD v1.0; keep v2.1 as the single PRD,"H7. Doc 2 and docs/plans/prd.md contain both PRD v1.0 (Jan 24) and v2.1 (Jan 30) in full, sequentially, with no marker that v1 is superseded. Anyone reading top-down gets the obsolete version first.",3,docs,1,Docs & hygiene,Backlog
Replace the CHANGELOG with a real one,H2. docs/CHANGELOG.md is a pre-implementation proposal dated 2026-02-01 that ends with 'Ready to Begin Task 0?'. Every commit since is unrecorded.,4,docs,1,Docs & hygiene,Backlog
Close out clepsy_mvp.md and archive stale Google Docs,H4/H5. The 30-task plan is mostly executed and has no completion state; its residual value is the unbuilt tasks. Doc 3 ('Copy of Productivity app notes') has no unique content — archive it. Freeze Docs 1 and 2 read-only with a pointer to Linear once migration completes.,4,docs,1,Docs & hygiene,Backlog
Remove the unobserved AppDidBecomeActive notification,CD-026. Posted on every foreground in ClepsyApp.swift:30; nothing listens. Left over from the pre-scenePhase wiring in 65f849c.,4,tech-debt,1,Cleanup,Backlog
Remove or wire up the clepsy:// URL scheme,CD-027. Registered in project.yml. Added for 'launch productive app via URL scheme' in 9db7dd7; the tappable app cards were later removed. Nothing opens a URL anywhere now.,4,tech-debt,1,Cleanup,Backlog
Delete the superseded in-app ShieldConfigurationView,"CD-028. Plan Task 23's SwiftUI shield, never presented. It implements things the real shield cannot (mascot, earned-today, 'Earn Time Now'), which is part of why the specs read as though those exist.

File: Clepsy/Views/Shield/ShieldConfigurationView.swift",4,tech-debt,1,Cleanup,Backlog
Remove hardcoded app lists and AppIconView,CD-029. AppCategory.defaultViceApps/.defaultProductiveApps and AppIconView predate FamilyActivitySelection. The dashboard renders system Label(token) views instead. DashboardViewModel still loads the hardcoded lists into published properties nothing reads. AppIconView's comment claims 'Used by DashboardView' — it isn't.,4,tech-debt,1,Cleanup,Backlog
Remove the unused UserSettings.exchangeRate,"CD-030. Added as '1:1 for MVP, configurable for future'; nothing consumes it. The 1:1 rate is implicit in 'one threshold = 60 seconds'. It implies configurability that doesn't exist.",4,tech-debt,1,Cleanup,Backlog
Add test coverage for UsageTrackingService and the extensions,"No tests exist for UsageTrackingService or any of the three extensions — which is where the product's actual mechanics live. Meanwhile the largest test file (EarningSessionManagerTests, 167 lines) covers code the app never runs.",3,tests,3,Cleanup,Backlog
